order_id,customer_id,product_id,quantity,order_date,status
1,1000,22,3,2025-09-14,completed
2,820,50,4,2025-11-17,completed
3,382,5,1,2025-09-26,completed
4,462,12,5,2025-10-31,cancelled
5,881,3,2,2025-10-26,completed
6,971,7,5,2025-10-21,cancelled
7,365,40,1,2025-11-14,pending
8,789,39,3,2025-10-18,pending
9,770,37,3,2025-10-07,pending
10,536,21,5,2025-10-13,cancelled
11,13,19,5,2025-09-08,cancelled
12,253,45,2,2025-10-10,completed
13,393,11,3,2025-10-23,pending
14,229,22,5,2025-09-07,completed
15,976,21,3,2025-10-06,completed
16,427,18,1,2025-10-07,pending
17,972,21,1,2025-10-04,completed
18,436,25,1,2025-11-15,cancelled
19,123,30,5,2025-10-16,completed
20,544,28,3,2025-11-21,cancelled
21,638,3,4,2025-09-30,pending
22,214,29,4,2025-10-15,completed
23,938,47,1,2025-09-04,pending
24,756,20,4,2025-10-14,completed
25,584,32,1,2025-10-22,completed
26,862,39,2,2025-09-29,cancelled
27,152,25,1,2025-11-18,cancelled
28,642,16,4,2025-10-02,pending
29,887,4,1,2025-09-26,pending
30,416,32,2,2025-11-06,completed
31,542,10,5,2025-11-09,cancelled
32,617,49,2,2025-08-30,cancelled
33,732,20,2,2025-08-31,pending
34,166,49,4,2025-11-14,completed
35,648,44,1,2025-09-14,pending
36,545,24,4,2025-09-02,completed
37,201,23,4,2025-11-07,completed
38,501,20,5,2025-10-28,completed
39,532,50,5,2025-11-26,pending
40,69,25,1,2025-10-15,pending
41,288,38,1,2025-11-20,completed
42,696,22,2,2025-11-20,pending
43,442,6,4,2025-11-14,completed
44,171,46,3,2025-11-03,pending
45,860,40,1,2025-09-08,cancelled
46,80,16,1,2025-10-05,completed
47,772,38,5,2025-09-05,cancelled
48,30,40,2,2025-11-04,pending
49,418,48,4,2025-11-22,cancelled
50,297,24,4,2025-10-18,pending
51,624,4,2,2025-11-13,pending
52,408,39,4,2025-10-22,completed
53,373,39,3,2025-11-26,pending
54,623,16,5,2025-11-27,completed
55,57,17,3,2025-10-11,cancelled
56,887,11,5,2025-09-21,cancelled
57,147,20,2,2025-09-24,cancelled
58,673,4,3,2025-10-28,completed
59,243,38,4,2025-10-02,cancelled
60,123,3,2,2025-09-30,cancelled
61,151,22,2,2025-09-24,pending
62,850,28,3,2025-11-01,pending
63,100,12,1,2025-08-29,pending
64,320,6,5,2025-11-27,pending
65,922,33,4,2025-11-25,completed
66,178,20,4,2025-10-01,cancelled
67,526,14,5,2025-10-23,cancelled
68,428,16,5,2025-10-27,completed
69,916,9,5,2025-10-04,completed
70,468,48,1,2025-09-21,pending
71,522,9,5,2025-11-03,cancelled
72,955,37,2,2025-11-21,cancelled
73,966,38,4,2025-11-10,completed
74,361,13,4,2025-11-03,cancelled
75,886,13,5,2025-10-11,pending
76,157,25,3,2025-10-01,cancelled
77,194,22,4,2025-09-04,completed
78,599,15,1,2025-11-24,pending
79,881,24,3,2025-09-30,pending
80,439,49,4,2025-09-28,pending
81,536,26,5,2025-09-21,completed
